problemcode,problemcode,persongroup,failurecode,PROBLEMCAUSE,PROBLEMREMEDY,faildate (bins),worktype,wonum,faildate-daycalendar,Problem_description,WODESCRIPTION,SRNUMBER,fail_MonthYearShort,Failure_Code_Descr,SYSTEM,location,subsystem,TramNumber,location - Copy.1,location - Copy.2,location - Copy.3,location - Copy.4,location - Copy.5,location - Copy.6,status,RST CATEGORY
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HARD OBSTACLE,REMOVE OBSTACLE,July 2018,COR,187175,"Saturday, July 7, 2018",discordance of switch,SL41 Discordant,38617,Jul/2018,FC-TRKS DISCORDANCE HARD OBSTACLE,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HARD OBSTACLE,REMOVE OBSTACLE,September 2018,COR,192637,"Friday, August 31, 2018",discordance of switch,SL53 discordant in reverse position,39545,Aug/2018,FC-TRKS DISCORDANCE HARD OBSTACLE,TRK,DXBT01-A6A5-TR1-TRKS-SL53,TRKSWITCH,,DXBT01,A6A5,TR1,TRKS,SL53,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HARD OBSTACLE,REMOVE OBSTACLE,September 2019,COR,217789,"Thursday, September 19, 2019",discordance of switch,Route setting restricted for SL54 due switch showing discordant,45256,sept.-19,FC-TRKS DISCORDANCE HARD OBSTACLE,TRK,DXBT01-A6A5-TR2-TRKS-SL54,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL54,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HARD OBSTACLE,REMOVE OBSTACLE,December 2019,COR,223923,"Friday, December 13, 2019",discordance of switch,SL14 Discordant,46478,Dec/2019,FC-TRKS DISCORDANCE HARD OBSTACLE,TRK,DXBT01-A3A2-TR3-TRKS-SL14,TRKSWITCH,,DXBT01,A3A2,TR3,TRKS,SL14,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HARD OBSTACLE,REMOVE OBSTACLE,January 2020,COR,226115,"Tuesday, January 14, 2020",discordance of switch,SL 23 discordant,47030,janv.-20,FC-TRKS DISCORDANCE HARD OBSTACLE,TRK,DXBT01-A5A5-ST1-TRKS-SL23,TRKSWITCH,,DXBT01,A5A5,ST1,TRKS,SL23,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HYDRAULIC GROUP LEAKAGE,HYDRAULIC GROUP REPLACED,August 2018,COR,190324,"Monday, August 13, 2018",discordance of switch,SL 54 Blinking,39233,Aug/2018,FC-TRKS DISCORDANCE HYDRAULIC GROUP LEAKAGE,TRK,DXBT01-A6A5-TR2-TRKS-SL54,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL54,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HYDRAULIC GROUP LEAKAGE,HYDRAULIC GROUP REPLACED,October 2018,COR,193433,"Thursday, September 20, 2018",discordance of switch,SL53 discordant,39850,sept.-18,FC-TRKS DISCORDANCE HYDRAULIC GROUP LEAKAGE,TRK,DXBT01-A6A5-TR1-TRKS-SL53,TRKSWITCH,,DXBT01,A6A5,TR1,TRKS,SL53,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,January 2017,COR,151286,"Friday, January 20, 2017",discordance of switch,SL42 discordant,27030,janv.-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,January 2017,COR,152225,"Tuesday, January 24, 2017",discordance of switch,SL42 discordant,27125,janv.-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2017,COR,155728,"Thursday, March 23, 2017",discordance of switch,SL 42 discordant,28931,mars-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2017,COR,155324,"Sunday, March 12, 2017",discordance of switch,SL41 Discordant,28565,mars-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2017,COR,155226,"Friday, March 10, 2017",discordance of switch,SL41 discordant in left position,28529,mars-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2017,COR,155225,"Friday, March 10, 2017",discordance of switch,SL42 discordant,28521,mars-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2017,COR,155205,"Wednesday, March 8, 2017",discordance of switch,SL 42 discordant when tram is passing the switch,28454,mars-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2017,COR,155609,"Tuesday, March 21, 2017",discordance of switch,SL 23 discordant on the left position,28834,mars-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A5A5-ST1-TRKS-SL23,TRKSWITCH,,DXBT01,A5A5,ST1,TRKS,SL23,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,February 2017,COR,152831,"Saturday, February 11, 2017",discordance of switch,SL 41 is Discordant.Conduct Functional Test twice and it did not normalised.,27630,Feb/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,February 2017,COR,154494,"Tuesday, February 21, 2017",discordance of switch,SD08 discordant in straight position,27945,Feb/2017,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-DEP-ZA-DO3.1-TRKS-SD08,TRKSWITCH,,DXBT01,DEP,ZA,DO3.1,TRKS,SD08,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2017,COR,154650,"Wednesday, March 1, 2017",discordance of switch,SL 42 discordant,28234,mars-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,January 2017,COR,154943,"Saturday, January 21, 2017",discordance of switch,SD08 discordant during testing but normalized after functional test,27050,janv.-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-DEP-ZA-DO3.1-TRKS-SD08,TRKSWITCH,,DXBT01,DEP,ZA,DO3.1,TRKS,SD08,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,February 2017,COR,154496,"Tuesday, February 21, 2017",discordance of switch,SL23 left position is discordant,27947,Feb/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A5A5-ST1-TRKS-SL23,TRKSWITCH,,DXBT01,A5A5,ST1,TRKS,SL23,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,February 2017,COR,152691,"Friday, February 3, 2017",discordance of switch,SL52 discordant in left position,27394,Feb/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A6A5-TR2-TRKS-SL52,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL52,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,February 2017,COR,152966,"Tuesday, February 14, 2017",discordance of switch,SL42 discordant,27719,Feb/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,January 2017,COR,152393,"Tuesday, January 31, 2017",discordance of switch,slight sand accumulation on track at J1028 T2,27300,janv.-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A4A3-JN1028,TRKSWITCH,,DXBT01,A4A3,JN1028,,,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,February 2017,COR,152933,"Friday, February 10, 2017",discordance of switch,SL42 discordant in normal position,27598,Feb/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,February 2017,COR,155008,"Wednesday, February 1, 2017",discordance of switch,COZ Track 2 / SL 42,27324,Feb/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,July 2017,COR,163839,"Saturday, July 15, 2017",discordance of switch,SL42 discordant on straight position after T009 passed,31948,Jul/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,July 2017,COR,163642,"Sunday, July 9, 2017",discordance of switch,SL21 discordant in right position,31792,Jul/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A5A5-ST1-TRKS-SL21,TRKSWITCH,,DXBT01,A5A5,ST1,TRKS,SL21,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,June 2017,COR,162863,"Sunday, June 18, 2017",discordance of switch,SL44 discordant straight position,31295,Jun/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL44,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL44,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,June 2017,COR,161840,"Friday, June 16, 2017",discordance of switch,SL 42 Discordant in straight position,31227,Jun/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,May 2017,COR,159190,"Friday, May 5, 2017",discordance of switch,SL44 discordant,30202,May/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL44,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL44,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,April 2017,COR,157345,"Thursday, April 13, 2017",discordance of switch,SL37 discordant,29589,Apr/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,TRAPDOOR LOOSEN,TRAPDOOR TIGHTEN,March 2017,COR,156622,"Wednesday, March 29, 2017",discordance of switch,SD01 open in SCADA,29153,mars-17,FC-TRKS DISCORDANCE TRAPDOOR LOOSEN,TRK,DXBT01-DEP-ZA-DO1-TRKS-SD01,TRKSWITCH,,DXBT01,DEP,ZA,DO1,TRKS,SD01,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2017,COR,156480,"Monday, March 27, 2017",discordance of switch,SL 42 discordant on straight position,29051,mars-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2017,COR,156453,"Friday, March 24, 2017",discordance of switch,SD01,28957,mars-17,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-DEP-ZA-DO1-TRKS-SD01,TRKSWITCH,,DXBT01,DEP,ZA,DO1,TRKS,SD01,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,August 2017,COR,165407,"Friday, August 11, 2017",discordance of switch,SL42 discordant on straight position,32564,Aug/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,August 2017,COR,165719,"Monday, August 21, 2017",discordance of switch,ST09 track 1 / SL 25 discordant,32805,Aug/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A5A5-TR1-TRKS-SL25,TRKSWITCH,,DXBT01,A5A5,TR1,TRKS,SL25,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,August 2017,COR,166908,"Friday, August 25, 2017",discordance of switch,SL37 discordant on straight position,32903,Aug/2017,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,August 2017,COR,166849,"Thursday, August 24, 2017",discordance of switch,SL41 discordant on left position,32890,Aug/2017,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SPRING LOADED BROKEN,REPLACEMENT,August 2017,COR,165651,"Wednesday, August 16, 2017",discordance of switch,SL 54 DISCORDANT IN STRAIGHT POSITION,32687,Aug/2017,FC-TRKS DISCORDANCE SPRING LOADED BROKEN,TRK,DXBT01-A6A5-TR2-TRKS-SL54,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL54,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,January 2018,COR,175072,"Monday, January 8, 2018",discordance of switch,Discordant SL 24,35545,janv.-18,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-A5A5-TR2-TRKS-SL24,TRKSWITCH,,DXBT01,A5A5,TR2,TRKS,SL24,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,February 2018,COR,177944,"Friday, February 9, 2018",discordance of switch,SL 37 COZT1 discordant while activating route for removal,36103,Feb/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,February 2018,COR,178066,"Thursday, February 22, 2018",discordance of switch,SL 41 discordant in left position,36301,Feb/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,NO PROBLEM FOUND,,March 2018,COR,179913,"Tuesday, March 20, 2018",discordance of switch,SD17 Depot was discordant,36768,mars-18,FC-TRKS DISCORDANCE NO PROBLEM FOUND,TRK,DXBT01-DEP-ZC-DS1-TRKS-SD17,TRKSWITCH,,DXBT01,DEP,ZC,DS1,TRKS,SD17,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,April 2018,COR,181790,"Thursday, April 19, 2018",discordance of switch,SL41 blinking in reverse position.,37321,Apr/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,April 2018,COR,181789,"Thursday, April 19, 2018",discordance of switch,"During pre opening check SlL37 blinking, In SCADA alarm showng Discordant",37322,Apr/2018,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SPRING LOADED BROKEN,REPLACEMENT,April 2018,COR,181704,"Friday, April 13, 2018",discordance of switch,SL54 damaged component,37226,Apr/2018,FC-TRKS DISCORDANCE SPRING LOADED BROKEN,TRK,DXBT01-A6A5-TR2-TRKS-SL54,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL54,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,May 2018,COR,183405,"Sunday, May 13, 2018",discordance of switch,SL52 discordant in left position,37748,May/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A6A5-TR2-TRKS-SL52,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL52,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,NO PROBLEM FOUND,,July 2018,COR,189197,"Thursday, July 26, 2018",discordance of switch,"SD09 discordant, normalized after functional test",38910,Jul/2018,FC-TRKS DISCORDANCE NO PROBLEM FOUND,TRK,DXBT01-DEP-ZA-DO3.1-TRKS-SD09,TRKSWITCH,,DXBT01,DEP,ZA,DO3.1,TRKS,SD09,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,July 2018,COR,188893,"Sunday, July 22, 2018",discordance of switch,SL44 is discordant,38843,Jul/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL44,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL44,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,August 2018,COR,190007,"Thursday, August 9, 2018",discordance of switch,SL41 blinking when trying to set from A to L1 Left position but sets properly from A to C1 straight,39142,Aug/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,August 2018,COR,192375,"Saturday, August 25, 2018",discordance of switch,"SL44 discordant, normalized after functional test",39428,Aug/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL44,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL44,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,August 2018,COR,190536,"Wednesday, August 15, 2018",discordance of switch,SL37 showing discordant,39273,Aug/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,September 2018,COR,192849,"Friday, September 7, 2018",discordance of switch,SD01 depot switch discordant,39641,sept.-18,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-DEP-ZA-DO1-TRKS-SD01,TRKSWITCH,,DXBT01,DEP,ZA,DO1,TRKS,SD01,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,November 2018,COR,196608,"Wednesday, October 31, 2018",discordance of switch,SL23 discordant on left position,40426,oct.-18,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A5A5-ST1-TRKS-SL23,TRKSWITCH,,DXBT01,A5A5,ST1,TRKS,SL23,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,October 2018,COR,194616,"Wednesday, October 3, 2018",discordance of switch,SL37 blinking in straight position,40024,oct.-18,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,November 2018,COR,197039,"Thursday, November 15, 2018",discordance of switch,SL 41 discordant,40667,nov.-18,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
